package,download_count,compatible
boto3,842151290,true
urllib3,461387757,true
botocore,385754851,true
requests,365851468,true
certifi,341168200,true
typing-extensions,332385955,true
setuptools,331536279,true
charset-normalizer,322852906,true
wheel,287941454,true
s3transfer,283329639,true
idna,260532628,true
packaging,255055063,true
pyyaml,239672757,true
python-dateutil,227378740,true
cryptography,214769491,true
grpcio-status,212110086,true
numpy,206577986,true
six,204914411,true
pip,200512533,true
google-api-core,199851005,true
importlib-metadata,189507857,true
click,174347160,true
aiobotocore,171489317,true
cffi,171097955,true
zipp,170859251,true
protobuf,162472632,true
awscli,156897869,true
pytz,154686921,true
markupsafe,150739520,true
fsspec,148449137,true
pandas,148214652,true
pyasn1,147105700,true
s3fs,140554763,true
pyjwt,137256618,true
rsa,134323045,true
attrs,132661924,true
platformdirs,130525085,true
pydantic,128906929,true
jmespath,127280452,true
pycparser,126531391,true
colorama,124266207,true
jinja2,119147765,true
werkzeug,117443928,true
googleapis-common-protos,115518078,true
google-auth,112965351,true
cachetools,108638271,true
filelock,106801475,true
virtualenv,106599742,true
flask,105459445,true
jsonschema,103798044,true
sqlalchemy,103026269,true
tomli,102946090,true
wrapt,102514699,true
pluggy,99150209,true
async-timeout,97960731,true
exceptiongroup,97084778,true
pyparsing,97036132,true
aiohttp,96823055,true
pytest,93201959,true
psutil,90663693,true
pyarrow,87809554,true
docutils,86844948,true
greenlet,86814088,true
oauthlib,86648393,true
grpcio,85285928,true
yarl,84988195,true
frozenlist,83738007,false
isodate,83170990,true
soupsieve,82662005,true
requests-oauthlib,81103475,true
lxml,81102604,true
tqdm,80343937,true
multidict,79678041,false
pygments,77634108,true
pillow,74546418,true
pyasn1-modules,74524743,true
azure-core,74522327,true
pyopenssl,72551404,true
beautifulsoup4,71455547,true
aiosignal,70158317,true
distlib,70007653,true
importlib-resources,69578094,true
iniconfig,68548925,true
scipy,67270379,true
tomlkit,65401063,true
websocket-client,64608185,true
coverage,63310906,true
openpyxl,61738371,true
et-xmlfile,61661929,true
more-itertools,60521049,true
asn1crypto,59427689,true
decorator,58540096,true
requests-toolbelt,58157256,true
chardet,57827949,true
google-cloud-storage,57595392,true
deprecated,57435132,true
google-cloud-core,55799175,true
msgpack,55348978,true
rpds-py,55005716,true
wcwidth,54116137,true
